predicted_labels	true_labels	lil_interpretations	gil_interpretations
2	2	[('neuro pathy', -0.8491778932511806), ('is neuro pathy', -0.8900476591661572), ('What is neuro pathy', -0.9013811822514981)]	['What is object-oriented design ?', 'What is object-oriented design ?']
4	4	[]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
2	2	[('is cryptography', -0.8663112781941891), ('What is cryptography', -0.9020047085359693)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	1	[('natural gas', -0.5711190328001976), ('composed of', -0.575179036706686)]	['What molecules include fluorine , sodium and magnesium ?', 'What is a heuristic ?']
3	3	[('of Canada', -0.4546976685523987)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
3	3	[('the battle of Waterloo', -0.46400219202041626), ('the battle', -0.46737992763519287), ('of Waterloo', -0.47282448410987854)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('is leukemia', -0.8549372628331184), ('What is leukemia', -0.8929887283593416)]	['What is object-oriented design ?', 'What is object-oriented design ?']
4	4	[('Howard Hughes', -0.8333028182387352)]	['What river is Pocahontas buried along ?', 'What U.S. state is Mammoth Cave National Park in ?']
1	1	[('for June', -0.1664992868900299)]	['What did The Gas House Gang play ?', 'What is your favorite color ?']
5	1	[('in Minnesota', -0.3165368437767029)]	['What are values ?', 'What is the abbreviation for Original Equipment Manufacturer ?']
5	5	[('from the earth', -0.2168346643447876), ('to the sun', -0.25043487548828125), ('in miles', -0.4615713357925415), ('the earth', -0.46587610244750977), ('the sun', -0.4944717586040497)]	"[""What was the sequel to The Moon 's Balloon ?"", ""What was John Steinbeck 's travelling companion Charley ?""]"
5	5	[('for a chicken', -0.18349546194076538), ('a chicken', -0.42469364404678345)]	['What are values ?', 'What is the chemical composition of a Barbie ?']
5	5	[]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
5	2	[('What is relative humidity', -0.010002076625823975), ('is relative humidity', -0.1382407546043396), ('relative humidity', -0.34476107358932495)]	['What are values ?', 'What are the different approaches of systems analysis ?']
4	4	[('358 24', -0.8568602204322815), ('of 358 24', -0.9113690983504057), ('the zip code', -0.9144117990508676)]	['What explorers followed Columbus to the Americas ?', 'What is the brightest star visible from Earth ?']
1	1	[('is used in Algeria', -0.338155061006546), ('used in Algeria', -0.3823836147785187), ('in Algeria', -0.45323899388313293)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
3	3	[]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
1	1	[('most popular', -0.24853351712226868), ('in 1957', -0.27085360884666443)]	['What is your favorite color ?', 'What explorers followed Columbus to the Americas ?']
2	1	[('made of', -0.6313680447638035), ('i made of', -0.657430546823889)]	['What did The Gas House Gang play ?', 'What is a heuristic ?']
3	1	[('in 1957', -0.13898292183876038), ('into space', -0.14738979935646057), ('the satellite', -0.18593809008598328), ('the Soviet Union', -0.2332635521888733)]	['What is the brightest star visible from Earth ?', 'Who wrote The Collector ?']
4	4	[('The En quire r', -0.8800412621349096)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
3	3	[('invented the sl inky', -0.20310908555984497), ('the sl inky', -0.2785986065864563)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
1	1	[('have back bones', -0.3736041486263275), ('back bones', -0.4922577440738678)]	"[""What characteristics contribute to its `` intelligence '' ?"", 'President Bush compared Saddam Hussein to whom ?']"
5	5	[('of copper', -0.2857092022895813)]	['What are values ?', 'What is the chemical composition of a Barbie ?']
4	4	[('Olympus Mons', -0.8546867072582245), ('the volcano', -0.8685890920460224)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
3	3	[('of the United States', -0.33029890060424805), ('the United States', -0.3671022057533264), ('23 rd', -0.436387836933136)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
5	5	[]	['What are values ?', 'What is the chemical composition of a Barbie ?']
2	2	[('acid rain', -0.8464421257376671), ('of acid rain', -0.8795686094090343)]	['What is object-oriented design ?', 'What is object-oriented design ?']
5	5	[('the United States', 0.0156477689743042), ('abolish the draft', -0.015448510646820068), ('the draft', -0.21923959255218506)]	['What explorers followed Columbus to the Americas ?', 'How many blacks served in the Vietnam War']
5	5	[('the speed of light', -0.04676705598831177), ('the speed', -0.40106070041656494), ('of light', -0.4278969168663025)]	['What is the brightest star visible from Earth ?', 'Define cosmology']
4	4	[('is Montreal in', -0.872135310433805)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
1	4	[('as the Twin Towers', 0.296673446893692), ('the Twin Towers', 0.19933012127876282), ('New York', 0.002869933843612671)]	['What flower did Vincent Van Gogh paint ?', 'What U.S. state is Mammoth Cave National Park in ?']
2	2	[('is fungus', -0.8006522804498672), ('What is fungus', -0.8395701302215457)]	['What is DSL ?', 'What is object-oriented design ?']
1	1	[('in the Netherlands', -0.44377678632736206), ('most frequently', -0.5063291788101196), ('the Netherlands', -0.547547459602356)]	"['What explorers followed Columbus to the Americas ?', ""What characteristics contribute to its `` intelligence '' ?""]"
2	2	[('sodium chloride', -0.8003006055951118), ('is sodium chloride', -0.8367487043142319), ('What is sodium chloride', -0.8439588426845148)]	['What is a heuristic ?', 'What is DSL ?']
1	1	[('dom ino es', -0.06069350242614746), ('on dom ino es', -0.11722245812416077)]	['Name a Gaelic language', 'What explorers followed Columbus to the Americas ?']
5	5	[('in a ton', -0.03329282999038696), ('How many', -0.2516762614250183), ('a ton', -0.2862991690635681)]	['How many visitors go to the Vatican each year ?', 'Who killed JFK ?']
2	2	[('is influenza', -0.8462034650146961), ('What is influenza', -0.882832357659936)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	2	[('ozone depletion', -0.8156889155507088), ('is ozone depletion', -0.8529074108228087), ('What is ozone depletion', -0.8608137983828783)]	['What is a heuristic ?', 'What are values ?']
5	5	[('the Mon a Lisa', 0.07356071472167969)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
2	2	[('Sitting Shiva', -0.8527547903358936)]	['What is DSL ?', 'What are values ?']
5	1	[('in Madrid , Spain', -0.23446398973464966), ('Madrid , Spain', -0.3343292474746704)]	['What are values ?', 'What is the chemical composition of a Barbie ?']
4	4	[('North America', -0.7669747322797775), ('from Maine', -0.7779253795742989), ('to Georgia', -0.7826084569096565), ('in North America', -0.8211372178047895)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
2	1	[('made of', -0.5292353183031082), ('plastic made of', -0.5596372876316309), ('is plastic made of', -0.5671950109535828)]	['What is the chemical composition of a Barbie ?', 'What molecules include fluorine , sodium and magnesium ?']
5	5	[('the population', -0.290311336517334), ('of Nigeria', -0.34405869245529175)]	['How many blacks served in the Vietnam War', 'What is the brightest star visible from Earth ?']
2	2	[]	['What did The Gas House Gang play ?', 'What is object-oriented design ?']
4	4	[('the Grand Canyon', -0.9198695635423064)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
3	3	[('Who invented the telephone', -0.2504558563232422), ('invented the telephone', -0.30329710245132446), ('the telephone', -0.4049435257911682)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
5	5	[('buy Alaska', -0.19423288106918335)]	['How many blacks served in the Vietnam War', 'What explorers followed Columbus to the Americas ?']
3	3	[('of Ireland', -0.37581396102905273), ('the leader', -0.40018221735954285), ('the leader of Ireland', -0.44520366191864014)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[]	['What is a heuristic ?', 'What is object-oriented design ?']
5	5	[('in a cubic foot', 0.009966850280761719), ('a cubic foot', -0.07906746864318848), ('How many', -0.3283395767211914), ('of water', -0.36636388301849365)]	['Define cosmology', 'Who wrote The Collector ?']
2	1	[('the Legislative branch', -0.464368705637753), ('of the Legislative branch', -0.4730016568209976)]	['Name a Gaelic language', 'What is the abbreviation of General Motors ?']
2	2	[('son ar', -0.835300650447607), ('is son ar', -0.8816772978752851), ('What is son ar', -0.8942157172132283)]	['What is a heuristic ?', 'What is object-oriented design ?']
4	4	[('most people', -0.877748429775238)]	"['What explorers followed Columbus to the Americas ?', ""What 's the most popular contact lens color ?""]"
2	2	[('is phosphorus', -0.844619408249855), ('What is phosphorus', -0.8779033026657999)]	['What are values ?', 'What is DSL ?']
4	4	[('the Sea', -0.7573046199977398), ('Tr anqu ility', -0.7923141568899155), ('of Tr anqu ility', -0.8078743247315288)]	['What river is Pocahontas buried along ?', 'What U.S. state is Mammoth Cave National Park in ?']
5	5	[('How fast is sound', -0.014372766017913818), ('How fast', -0.36115342378616333), ('is sound', -0.3842078447341919)]	['What is the abbreviation for Original Equipment Manufacturer ?', 'What is the brightest star visible from Earth ?']
4	4	[('cogn ac', -0.8444411307573318), ('produced in', -0.8528607934713364)]	['What is the brightest star visible from Earth ?', 'Define cosmology']
2	2	"[(""Valentine ' s"", -0.8228221866302192)]"	"[""Who played the original Charlie 's Angels ?"", 'President Bush compared Saddam Hussein to whom ?']"
2	2	[('gray hair', -0.721561960875988), ('causes gray hair', -0.7750701941549778), ('What causes gray hair', -0.787960163783282)]	['What is a common anti-AIDS drug ?', 'What is diabetes ?']
2	2	[('is hypertension', -0.8504566252231598), ('What is hypertension', -0.8884768132120371)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	2	[('is bandwidth', -0.8167250454425812), ('What is bandwidth', -0.8464583232998848)]	['What are values ?', 'What is a heuristic ?']
4	4	[('the U . S', -0.564487935975194)]	['What is the chemical composition of a Barbie ?', 'How many blacks served in the Vietnam War']
2	2	[('a parasite', -0.7278130613267422), ('is a parasite', -0.7646359084174037), ('What is a parasite', -0.7725688781356439)]	['What did The Gas House Gang play ?', 'What is DSL ?']
2	2	[('home equity', -0.8212460391223431), ('is home equity', -0.8632191754877567), ('What is home equity', -0.8739717577118427)]	['What are values ?', 'What is object-oriented design ?']
2	2	[('meteor ologists', -0.873581275343895)]	['What did The Gas House Gang play ?', 'Who directed The Wild Bunch ?']
2	1	[('legally blind', -0.7947087287902832), ('being legally blind', -0.8427105220034719), ('for being legally blind', -0.8526725033298135)]	['What is object-oriented design ?', 'What is object-oriented design ?']
3	3	[('in the world', -0.27146244049072266), ('the world', -0.3873053193092346)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
4	4	[('the twin cities', -0.9055662862956524)]	"[""What 's the most popular contact lens color ?"", 'What is the brightest star visible from Earth ?']"
1	1	[('invent in 1903', -0.0008040666580200195), ('in 1903', -0.1603110134601593), ('Howard Smith', -0.17500415444374084)]	"['What did The Gas House Gang play ?', ""Who played the original Charlie 's Angels ?""]"
1	1	[('of liberty', -0.32742100954055786), ('made of', -0.32918214797973633), ('the statue', -0.33429139852523804)]	"[""What characteristics contribute to its `` intelligence '' ?"", 'What explorers followed Columbus to the Americas ?']"
2	2	[('pil ates', -0.8139012977480888), ('is pil ates', -0.8667018972337246), ('What is pil ates', -0.8828054945915937)]	['What is object-oriented design ?', 'What is object-oriented design ?']
4	4	[]	['What is the brightest star visible from Earth ?', 'When is the Sun closest to the Earth ?']
5	5	[('of the Nile river', -0.025710642337799072), ('the Nile river', -0.14900100231170654)]	['What is the brightest star visible from Earth ?', 'What is the abbreviation for Original Equipment Manufacturer ?']
2	2	[]	"[""Who played the original Charlie 's Angels ?"", 'What are bear and bull markets ?']"
5	5	[]	['Define cosmology', 'Define Sinn Fein']
3	3	[('for the Brooklyn Dodgers', -0.343600332736969), ('the Brooklyn Dodgers', -0.3697044253349304)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
3	3	[('of Canada', -0.4609808325767517)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
5	5	[('How many', -0.3304409980773926)]	['Define cosmology', 'Who killed JFK ?']
1	1	[('did Glenn Miller play', -0.06933832168579102), ('Glenn Miller', -0.3176124095916748)]	['President Bush compared Saddam Hussein to whom ?', 'What did The Gas House Gang play ?']
5	5	[('when she died', -0.1929396390914917), ('Joan of Arc', -0.27437251806259155), ('she died', -0.41636282205581665), ('of Arc', -0.4645411968231201)]	['What is the chemical composition of a Barbie ?', 'President Bush compared Saddam Hussein to whom ?']
2	2	[]	['What is DSL ?', 'How do you use an intranet ?']
2	2	[('d ian etics', -0.8968580774962902)]	['What is object-oriented design ?', 'What is object-oriented design ?']
4	4	[('of Ethiopia', -0.7646732702851295), ('the capital', -0.7794487588107586)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
5	5	[('is an elephant pregnant', -0.037045419216156006), ('how long', -0.36425310373306274), ('an elephant', -0.41027969121932983)]	['What are values ?', 'How many blacks served in the Vietnam War']
2	2	[('J op lin', -0.8535844483412802)]	['What did The Gas House Gang play ?', 'President Bush compared Saddam Hussein to whom ?']
1	1	[('in Iceland', -0.4003717005252838)]	"['What explorers followed Columbus to the Americas ?', ""What characteristics contribute to its `` intelligence '' ?""]"
2	2	[('AM radio stations', -0.9076563771814108), ('FM radio stations', -0.9079236024990678)]	['What are bear and bull markets ?', 'What is a handheld PC ?']
2	2	[]	['What is object-oriented design ?', 'What is object-oriented design ?']
3	3	[('the U . S', -0.3152230381965637)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('pe y ote', -0.8845074772834778)]	['What is a handheld PC ?', 'What did The Gas House Gang play ?']
2	2	[('used for', -0.7538692355155945)]	"['What did The Gas House Gang play ?', ""Who played the original Charlie 's Angels ?""]"
2	2	[('vis cos ity', -0.825016472954303), ('is vis cos ity', -0.8305008467286825)]	['What is a heuristic ?', 'What are values ?']
5	5	[('become a state', 0.04376530647277832), ('a state', -0.14500808715820312)]	['What explorers followed Columbus to the Americas ?', 'How many blacks served in the Vietnam War']
2	0	[('for Texas', -0.4845011718571186)]	['What explorers followed Columbus to the Americas ?', 'What is DSL ?']
2	1	[('out of', -0.5194685496389866), ('made out of', -0.5504345605149865)]	['What is the chemical composition of a Barbie ?', 'What is a heuristic ?']
4	4	[('the body', -0.661752499639988), ('on the body', -0.7254306133836508), ('a mortar board', -0.7267216071486473), ('a mortar board worn', -0.7421136223711073)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
2	0	[('stand for', -0.6962043903768063)]	"['What did The Gas House Gang play ?', ""Who played the original Charlie 's Angels ?""]"
4	4	[('is Hitler buried', -0.882048774510622), ('Where is Hitler buried', -0.8997755027376115)]	['What river is Pocahontas buried along ?', 'What U.S. state is Mammoth Cave National Park in ?']
2	2	[('ant ac ids', -0.8396876947954297)]	['What is a heuristic ?', 'What is object-oriented design ?']
2	2	[('pulmonary fib', -0.8432363495230675), ('pulmonary fib rosis', -0.8821765277534723), ('is pulmonary fib rosis', -0.8930387578438967)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	2	[]	"[""Who played the original Charlie 's Angels ?"", 'What is a heuristic ?']"
2	2	[('nap rox en', -0.8834333252161741)]	['What is a heuristic ?', 'What is object-oriented design ?']
2	2	[('stre p throat', -0.8574017314240336), ('is stre p throat', -0.8686942083295435)]	['What is DSL ?', 'What is object-oriented design ?']
4	4	[('the U . S', -0.8640859159640968)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
2	1	[('foot and mouth', -0.8693691603839397)]	['What is object-oriented design ?', 'What is object-oriented design ?']
5	5	[('of a dollar bill', 0.01572507619857788), ('a dollar bill', -0.07474392652511597)]	['What are values ?', 'Define cosmology']
2	1	[('a professional map drawer', -0.4776710569858551)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('Ab orig ines', -0.8361495016142726)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	2	[('hybrid ization', -0.8421387746930122), ('is hybrid ization', -0.8882960919290781), ('What is hybrid ization', -0.9024153971113265)]	['What is object-oriented design ?', 'What is object-oriented design ?']
1	1	[('is ind igo', -0.24959978461265564), ('ind igo', -0.32581639289855957)]	['President Bush compared Saddam Hussein to whom ?', 'What is the chemical composition of a Barbie ?']
5	5	[('a car', -0.323978066444397), ('to be', -0.32774049043655396), ('in Italy', -0.3691253066062927)]	['Define cosmology', 'What are the ages in comic book lingo ?']
2	1	[]	['What is object-oriented design ?', 'What is object-oriented design ?']
1	1	[]	['What is the chemical composition of a Barbie ?', 'President Bush compared Saddam Hussein to whom ?']
2	0	[('stand for', -0.6632707938551903)]	['What did The Gas House Gang play ?', 'What is DSL ?']
5	5	[('go on strike', -0.008054196834564209), ('the NFL', -0.1836487054824829), ('on strike', -0.1910913586616516)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
2	2	[('solar wind', -0.7993240877985954), ('is solar wind', -0.8385288119316101), ('What is solar wind', -0.847069475101307)]	['What is a heuristic ?', 'What is object-oriented design ?']
5	5	[('land on the moon', 0.04618525505065918), ('on the moon', -0.03913372755050659), ('the moon', -0.22351467609405518), ('Neil Armstrong', -0.26529771089553833)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
5	5	[('When was Hiroshima bombed', 0.04845684766769409), ('was Hiroshima bombed', -0.06568658351898193)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
4	4	[('the Savannah River', -0.9005689639598131)]	['What river is Pocahontas buried along ?', 'What U.S. state is Mammoth Cave National Park in ?']
3	3	[('in the Vietnam War', -0.2431340217590332), ('the Vietnam War', -0.27311599254608154)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
4	4	[('all the planets', -0.8313494995236397), ('of all the planets', -0.8501659114845097), ('the strongest magnetic field', -0.8539109001867473)]	"['What explorers followed Columbus to the Americas ?', ""What characteristics contribute to its `` intelligence '' ?""]"
3	3	[('of Alaska', -0.3845565915107727), ('the governor', -0.44333136081695557)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
5	5	[('seize power in Italy', 0.08690500259399414), ('in Italy', -0.20865315198898315), ('Muss olini', -0.23774564266204834)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
4	4	[('of Persia', -0.7949407212436199), ('the capital', -0.8050990849733353)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
5	5	[('an oct opus', -0.07720565795898438), ('How many', -0.26659125089645386)]	['What is the chemical composition of a Barbie ?', 'What is the brightest star visible from Earth ?']
2	2	[('is pneumonia', -0.8448993302881718), ('What is pneumonia', -0.8878701375797391)]	['What is object-oriented design ?', 'What is object-oriented design ?']
4	4	[('the US', -0.7411180734634399), ('in the US', -0.7958269789814949)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
2	2	[('a fuel cell', -0.8328623920679092), ('is a fuel cell', -0.8417711721267551)]	['What is a heuristic ?', 'What is DSL ?']
3	3	[('to appear on TV', -0.3068743348121643), ('appear on TV', -0.32731151580810547), ('on TV', -0.4105573296546936)]	"[""Who played the original Charlie 's Angels ?"", 'Who received the Will Rogers Award in 1989 ?']"
4	4	[('Little League', -0.8659724742174149)]	"[""What 's the most popular contact lens color ?"", 'What river is Pocahontas buried along ?']"
2	1	[('of twins', -0.6748546622693539)]	['What is object-oriented design ?', 'What is object-oriented design ?']
1	4	[('is the brightest star', -0.3479844927787781), ('the brightest star', -0.42176908254623413)]	"[""What characteristics contribute to its `` intelligence '' ?"", 'What explorers followed Columbus to the Americas ?']"
2	2	[('is diabetes', -0.8580003082752228), ('What is diabetes', -0.8960645440965891)]	['What is object-oriented design ?', 'What is object-oriented design ?']
5	5	[('President Kennedy', -0.23688936233520508)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	0	[('TM J', -0.82895228266716), ('is TM J', -0.8715443126857281), ('What is TM J', -0.8825071766041219)]	['What is object-oriented design ?', 'What is object-oriented design ?']
1	1	[('is yak milk', -0.15086856484413147), ('yak milk', -0.16720888018608093)]	['What is the chemical composition of a Barbie ?', 'What molecules include fluorine , sodium and magnesium ?']
5	5	[('Dwight D . Eisenhower', 0.009046196937561035)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	0	[('IS DN', -0.8427269570529461)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	2	[('the sun', -0.8553835079073906)]	['What are bear and bull markets ?', 'What is a plant supplement ?']
5	5	[('between dollars and pounds', 0.037308335304260254), ('dollars and pounds', -0.03689926862716675)]	['What are values ?', 'How many blacks served in the Vietnam War']
5	5	[('Abraham Lincoln', -0.35263100266456604)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
2	2	[('the Milky Way', -0.8146113213151693), ('is the Milky Way', -0.8238481425214559)]	['What is a heuristic ?', 'What is DSL ?']
2	2	[('is mold', -0.8229505158960819), ('What is mold', -0.8629546891897917)]	['What is a heuristic ?', 'What is DSL ?']
5	5	[('was Moz art born', 0.0023822784423828125), ('Moz art', -0.2955925464630127)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
2	1	[('of frogs', -0.510273490101099), ('a group', -0.5174118150025606)]	['What is a heuristic ?', 'What are binomial coefficients ?']
1	1	"[(""William Penn ' s"", 0.09695857763290405)]"	"['What explorers followed Columbus to the Americas ?', ""What characteristics contribute to its `` intelligence '' ?""]"
5	5	[('of gold', 0.02742689847946167)]	['What are values ?', 'What is the formula to calculate pi ?']
1	4	[('of the White House', 0.027467846870422363), ('the White House', 0.0156954824924469)]	['What U.S. state ends with a G ?', 'What is the chemical composition of a Barbie ?']
2	2	[('sem olina', -0.8226853273808956), ('is sem olina', -0.8610812807455659), ('What is sem olina', -0.8694459019461647)]	['What is a heuristic ?', 'What is DSL ?']
1	1	[('Mel ba sauce', -0.2706528604030609), ('made from', -0.300082266330719), ('Mel ba', -0.3136144280433655)]	"['What explorers followed Columbus to the Americas ?', ""What characteristics contribute to its `` intelligence '' ?""]"
2	2	[('a Major', -0.8002369701862335), ('Urs a Major', -0.8476062621921301), ('is Urs a Major', -0.8605700205080211)]	['What did The Gas House Gang play ?', 'What is DSL ?']
5	5	[('in the human body', -0.023166656494140625), ('of water content', -0.11971312761306763), ('the human body', -0.15452593564987183), ('water content', -0.37665557861328125)]	['What is the brightest star visible from Earth ?', 'Define cosmology']
5	5	[('does water weigh', -0.04438149929046631)]	['Define cosmology', 'What is the chemical composition of a Barbie ?']
5	5	[('in Windsor , Ontario', -0.07805085182189941), ('Windsor , Ontario', -0.2426319122314453)]	['How many blacks served in the Vietnam War', 'What is the brightest star visible from Earth ?']
3	3	[]	"['Who received the Will Rogers Award in 1989 ?', ""Who 's won the most Oscars for costume design ?""]"
5	5	[('the population', -0.29672515392303467), ('of Australia', -0.33005255460739136)]	['What are values ?', 'How many blacks served in the Vietnam War']
3	3	[('the S istine Chapel', -0.39415431022644043)]	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
1	1	[('Name a stimul ant', -0.08661395311355591), ('a stimul ant', -0.2522438168525696)]	"[""What characteristics contribute to its `` intelligence '' ?"", 'What explorers followed Columbus to the Americas ?']"
2	2	[('the climate', -0.7324122749269009), ('volcan oes', -0.7336435858160257), ('of volcan oes', -0.7569844452664256), ('on the climate', -0.7571586119011045)]	['What is a heuristic ?', 'What is the chemical reactivity of helium ?']
5	5	[('the Andy Griffith show', -0.0937415361404419), ('Andy Griffith', -0.36527755856513977)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
2	2	[('acid rain', -0.8088380396366119), ('is acid rain', -0.8498372128233314), ('What is acid rain', -0.8595562318805605)]	['What is a heuristic ?', 'What is DSL ?']
5	5	"[(""Mexico ' s independence"", 0.09366816282272339), (""Mexico ' s"", 0.03754657506942749)]"	['President Bush compared Saddam Hussein to whom ?', 'What explorers followed Columbus to the Americas ?']
4	4	[('Lake Cham', -0.7761985287070274), ('Lake Cham plain', -0.8104573907330632), ('of Lake Cham plain', -0.8179096357198432)]	"['What is the brightest star visible from Earth ?', ""What 's the most popular contact lens color ?""]"
1	1	[]	['What is DSL ?', 'What did The Gas House Gang play ?']
1	1	[]	"[""What characteristics contribute to its `` intelligence '' ?"", 'What explorers followed Columbus to the Americas ?']"
2	2	[('icks ilver', -0.8200445286929607)]	['What is a heuristic ?', 'What is DSL ?']
3	3	[]	"[""Who played the original Charlie 's Angels ?"", 'President Bush compared Saddam Hussein to whom ?']"
5	5	[('the speed', -0.3560398817062378), ('of light', -0.38833439350128174)]	['What are values ?', 'How many bytes are in a terabyte ?']
5	5	[('of a football field', -0.007027864456176758), ('a football field', -0.15007174015045166)]	['What are values ?', 'What is the abbreviation for Original Equipment Manufacturer ?']
2	2	[('zero points', -0.8250368349254131), ('called love', -0.8347152806818485), ('zero points called love', -0.8667448859196156)]	['What are bear and bull markets ?', 'What are manifest and latent function theories ?']
3	1	[('T oto', -0.377388596534729), ('of Oz', -0.37843629717826843), ('the Wizard', -0.3853782117366791), ('What kind', -0.4119955599308014), ('of dog', -0.4288693964481354)]	"[""Who played the original Charlie 's Angels ?"", 'When did Nostradamus believe World War III would begin ?']"
2	2	[('a thyroid', -0.8307252675294876), ('is a thyroid', -0.8699003718793392), ('What is a thyroid', -0.8788803075440228)]	['What is a heuristic ?', 'What is object-oriented design ?']
2	2	[('c iao', -0.8637898601591587)]	['What are values ?', 'How do you use an intranet ?']
1	1	[('to the lungs', -0.245730459690094), ('from the heart', -0.25780391693115234), ('the heart', -0.345633327960968), ('blue blood', -0.3483763039112091), ('the lungs', -0.3584115505218506)]	"[""What characteristics contribute to its `` intelligence '' ?"", 'What explorers followed Columbus to the Americas ?']"
5	5	[('at Yellowstone National Park', -0.18637824058532715), ('Old Faith ful', -0.20610249042510986), ('Yellowstone National Park', -0.3736976981163025), ('Old Faith', -0.4642105996608734)]	['Who killed JFK ?', 'What is the brightest star visible from Earth ?']
2	2	[('ac etic acid', -0.844822526909411), ('is ac etic acid', -0.8546735546551645)]	['What is a heuristic ?', 'What are the different approaches of systems analysis ?']
5	5	[('St . Louis', -0.09031718969345093)]	['What are values ?', 'What is the brightest star visible from Earth ?']
5	1	[('with a strong acid', 0.16831347346305847), ('a strong acid', 0.07262864708900452), ('lit mus paper', -0.012762188911437988)]	['What molecules include fluorine , sodium and magnesium ?', 'What is the brightest star visible from Earth ?']
1	1	[('of the German flag', 0.16765445470809937), ('the German flag', 0.049112558364868164)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
2	2	[]	['What did The Gas House Gang play ?', 'What is DSL ?']
4	4	[('the Black Sea', -0.8778202626854181)]	['What U.S. state is Mammoth Cave National Park in ?', 'What river is Pocahontas buried along ?']
5	5	[('of silver', -0.29245060682296753)]	['What are values ?', 'What is the chemical composition of a Barbie ?']
1	1	[('use in Brazil', -0.3659970760345459), ('in Brazil', -0.3870266377925873)]	['What explorers followed Columbus to the Americas ?', 'President Bush compared Saddam Hussein to whom ?']
2	2	[('are pathogens', -0.6955939009785652), ('What are pathogens', -0.7289117677137256)]	['What is object-oriented design ?', 'What is object-oriented design ?']
2	2	[('mad cow', -0.7922060452401638), ('mad cow disease', -0.8339107092469931), ('is mad cow disease', -0.8439265128690749)]	['What is a heuristic ?', 'What is object-oriented design ?']
